date,date_time,home_team,away_team,venue,home_score,away_score,margin,outcome,final,home_odds,away_odds
2010-06-12,2010-06-12 14:10:00,Hawthorn,Adelaide,UTAS Stadium,124,77,47,1.0,False,1.39,2.91
2010-06-12,2010-06-12 19:10:00,Essendon,Geelong,Marvel Stadium,83,154,-71,0.0,False,4.18,1.22
2010-06-12,2010-06-12 19:10:00,Port Adelaide,Sydney,AAMI Stadium,55,93,-38,0.0,False,1.77,1.97
2010-06-13,2010-06-13 13:10:00,Richmond,West Coast,MCG,126,77,49,1.0,False,1.82,1.93
2010-06-13,2010-06-13 14:10:00,Western Bulldogs,Brisbane,Marvel Stadium,121,56,65,1.0,False,1.24,4.02
2010-06-13,2010-06-13 14:40:00,Fremantle,St Kilda,Domain Stadium,67,85,-18,0.0,False,1.64,2.18
2010-06-14,2010-06-14 14:10:00,Melbourne,Collingwood,MCG,76,76,0,0.5,False,4.98,1.16
2010-06-18,2010-06-18 19:40:00,Hawthorn,Essendon,MCG,102,86,16,1.0,False,1.55,2.39
2010-06-19,2010-06-19 19:10:00,Brisbane,Richmond,Gabba,86,105,-19,0.0,False,1.41,2.82
2010-06-19,2010-06-19 19:10:00,Carlton,Fremantle,Marvel Stadium,87,96,-9,0.0,False,1.62,2.23
2010-06-20,2010-06-20 13:10:00,North Melbourne,Port Adelaide,Marvel Stadium,129,93,36,1.0,False,1.35,3.08
2010-06-20,2010-06-20 14:40:00,West Coast,Western Bulldogs,Domain Stadium,59,119,-60,0.0,False,3.25,1.33
2010-06-25,2010-06-25 19:50:00,St Kilda,Geelong,MCG,70,46,24,1.0,False,3.09,1.34
2010-06-26,2010-06-26 19:10:00,Sydney,Collingwood,Accor Stadium,71,96,-25,0.0,False,2.23,1.62
2010-06-27,2010-06-27 14:40:00,Adelaide,Melbourne,AAMI Stadium,117,73,44,1.0,False,1.59,2.28
2010-07-01,2010-07-01 19:10:00,Carlton,Brisbane,Marvel Stadium,120,65,55,1.0,False,1.25,3.85
2010-07-02,2010-07-02 19:40:00,Hawthorn,Western Bulldogs,MCG,79,76,3,1.0,False,2.3,1.57
2010-07-03,2010-07-03 13:10:00,Fremantle,Port Adelaide,Domain Stadium,115,58,57,1.0,False,1.11,6.13
2010-07-03,2010-07-03 19:10:00,Adelaide,Essendon,AAMI Stadium,124,40,84,1.0,False,1.58,2.3
2010-07-03,2010-07-03 19:10:00,Collingwood,West Coast,Marvel Stadium,135,52,83,1.0,False,1.06,9.0
2010-07-04,2010-07-04 13:10:00,Geelong,North Melbourne,GMHBA Stadium,98,63,35,1.0,False,1.14,5.38
2010-07-04,2010-07-04 14:10:00,Richmond,Sydney,MCG,89,85,4,1.0,False,2.14,1.66
2010-07-04,2010-07-04 16:40:00,St Kilda,Melbourne,Marvel Stadium,100,65,35,1.0,False,1.12,5.81
2010-07-09,2010-07-09 20:10:00,Port Adelaide,Collingwood,AAMI Stadium,79,105,-26,0.0,False,5.06,1.15
2010-07-10,2010-07-10 13:10:00,West Coast,Adelaide,Domain Stadium,95,117,-22,0.0,False,2.63,1.46
2010-07-10,2010-07-10 14:10:00,Geelong,Hawthorn,MCG,85,83,2,1.0,False,1.33,3.18
2010-07-10,2010-07-10 19:10:00,Brisbane,St Kilda,Gabba,65,79,-14,0.0,False,4.21,1.21
2010-07-10,2010-07-10 19:10:00,Richmond,Fremantle,Marvel Stadium,100,81,19,1.0,False,2.61,1.46
2010-07-11,2010-07-11 13:10:00,Sydney,North Melbourne,SCG,85,55,30,1.0,False,1.42,2.78
2010-07-11,2010-07-11 14:10:00,Melbourne,Essendon,MCG,122,103,19,1.0,False,1.89,1.86
2010-07-11,2010-07-11 16:40:00,Carlton,Western Bulldogs,Marvel Stadium,58,126,-68,0.0,False,2.5,1.5
2010-07-16,2010-07-16 20:10:00,Adelaide,Geelong,AAMI Stadium,74,63,11,1.0,False,3.5,1.29
2010-07-17,2010-07-17 14:10:00,Collingwood,St Kilda,MCG,100,52,48,1.0,False,2.05,1.71
2010-07-17,2010-07-17 14:10:00,Hawthorn,Brisbane,UTAS Stadium,118,43,75,1.0,False,1.27,3.62
2010-07-17,2010-07-17 19:10:00,Essendon,West Coast,Marvel Stadium,100,132,-32,0.0,False,1.4,2.85
2010-07-17,2010-07-17 19:40:00,Western Bulldogs,Port Adelaide,TIO Stadium,83,47,36,1.0,False,1.15,5.08
2010-07-18,2010-07-18 13:10:00,Carlton,Sydney,Marvel Stadium,68,107,-39,0.0,False,1.57,2.31
2010-07-18,2010-07-18 14:10:00,Richmond,North Melbourne,MCG,53,103,-50,0.0,False,1.74,2.01
2010-07-18,2010-07-18 14:40:00,Fremantle,Melbourne,Domain Stadium,82,71,11,1.0,False,1.2,4.33
2010-07-23,2010-07-23 19:40:00,St Kilda,Hawthorn,Marvel Stadium,87,87,0,0.5,False,1.72,2.04
2010-07-24,2010-07-24 14:10:00,Collingwood,Richmond,MCG,127,45,82,1.0,False,1.1,6.5
2010-07-24,2010-07-24 14:10:00,Geelong,Brisbane,GMHBA Stadium,127,64,63,1.0,False,1.06,8.69
2010-07-24,2010-07-24 17:40:00,West Coast,Carlton,Domain Stadium,83,109,-26,0.0,False,1.84,1.88
2010-07-24,2010-07-24 19:10:00,North Melbourne,Essendon,Marvel Stadium,119,122,-3,0.0,False,1.43,2.73
2010-07-25,2010-07-25 13:10:00,Western Bulldogs,Fremantle,Marvel Stadium,158,76,82,1.0,False,1.3,3.43
2010-07-25,2010-07-25 14:10:00,Melbourne,Sydney,MCG,142,69,73,1.0,False,2.28,1.59
